Warsaw,Łódź,Kraków,Wrocław,Poznań,Gdańsk,Szczecin,Bydgoszcz,Lublin,Katowice,Białystok,Gdynia,Częstochowa,Sosnowiec,Radom,Kielce,Gliwice,Toruń,Zabrze,Bytom
0.0,117.00243345638414,252.49725511869502,301.7286293713489,278.10657693529606,283.44687822159005,453.7576934375816,225.57985470769364,152.73993017030068,259.0680091515636,176.48241021575086,303.03034115699796,206.05554796821116,253.55963659219213,92.45423682804758,153.47945839971314,269.33707604777095,184.77105329322563,262.3427421464016,254.30471053160815
117.00243345638414,0.0,192.79511749568914,184.87163811322515,187.6514766586276,292.30871683564675,379.9583552154749,180.28930073609928,221.70137141578374,171.02009034192582,292.3519313843113,311.9824509071277,111.01620002858695,167.0037993305427,122.62600929441338,128.24264208336726,173.01427568202098,150.4650339273639,167.79232007873813,162.63819907300717
252.49725511869502,192.79511749568914,0.0,235.25845068654857,334.3648301662697,485.0957527855743,526.5902897870574,365.5980576680603,227.66888100309123,68.3604047575678,407.8062650098331,504.7430854334957,99.96047367774825,64.38117944443059,171.7407717571716,102.37983695177374,93.48463123333993,341.0688678904483,87.00397659911195,78.22219393989792
301.7286293713489,184.87163811322515,235.25845068654857,0.0,145.49702359649845,377.62454556172565,309.0765632462456,234.62733360508898,386.0144479357434,168.81289907323566,475.5540511816369,393.25585285301696,150.3016868992504,171.59065701277117,288.2417369781759,252.85899207163553,146.12784422917755,238.16647907993345,150.50123224231027,157.69502096078472
278.10657693529606,187.6514766586276,334.3648301662697,145.49702359649845,0.0,244.51174438746278,195.71556184233015,107.73107023005956,408.034096243893,279.81510046924984,426.97739004569047,257.6575237671467,234.5682556598521,279.9202660390855,310.0674143510009,307.03184165639726,264.03330940796076,131.0782599529851,264.92277356400024,267.81494686693
283.44687822159005,292.30871683564675,485.0957527855743,377.62454556172565,244.51174438746278,0.0,287.33154694242523,142.99723797025405,433.85843406599247,455.9411241020847,326.3223019532301,20.018769801869183,396.6861180804622,453.1100893178211,368.29696913439096,409.52753235110134,450.86147380518565,148.87448255617534,447.91685823598095,445.6680296489827
453.7576934375816,379.9583552154749,526.5902897870574,309.0765632462456,195.71556184233015,287.33154694242523,0.0,232.1694842235916,595.4752331251915,467.552333217963,573.0920763450091,287.00128399467775,427.7629043537089,468.5851183943735,500.5113860272431,502.4426136132427,448.6340406459296,273.19420815691694,451.0111830580918,455.58364113950597
225.57985470769364,180.28930073609928,365.5980576680603,234.62733360508898,107.73107023005956,142.99723797025405,232.1694842235916,0.0,374.0496935008447,326.23902169577207,343.9809054725119,158.92925341566203,269.8176693762272,324.3330057676068,286.78099396411255,308.0831187461412,317.5830989484442,41.29816254874517,315.7646010245321,315.119464814986
152.73993017030068,221.70137141578374,227.66888100309123,386.0144479357434,408.034096243893,433.85843406599247,595.4752331251915,374.0496935008447,0.0,272.25371453597137,213.3405052327544,453.06675599212645,245.98143352805852,266.00191618755764,100.08056721922736,141.93881365451446,293.281271191766,334.34306291724283,284.9567681758814,274.33748354169467
259.0680091515636,171.02009034192582,68.3604047575678,168.81289907323566,279.81510046924984,455.9411241020847,467.552333217963,326.23902169577207,272.25371453597137,0.0,428.2109864653401,474.93306728650015,60.216428590873484,6.276239470953588,195.80662729563605,131.90871550740806,25.317440199496502,307.8080851902007,18.700597933244943,12.022530708249121
176.48241021575086,292.3519313843113,407.8062650098331,475.5540511816369,426.97739004569047,326.3223019532301,573.0920763450091,343.9809054725119,213.3405052327544,428.2109864653401,0.0,340.750736101363,379.5521582549543,422.3047195771722,236.37132214751804,305.69740611676957,441.440579366585,305.28090233971864,433.96414272465466,425.0763497384398
303.03034115699796,311.9824509071277,504.7430854334957,393.25585285301696,257.6575237671467,20.018769801869183,287.00128399467775,158.92925341566203,453.06675599212645,474.93306728650015,340.750736101363,0.0,415.83400379505093,472.17737517369966,388.21633163004714,429.5297951973117,469.4872519406586,167.42056042238536,466.6649938379225,464.5732822968309
206.05554796821116,111.01620002858695,99.96047367774825,150.3016868992504,234.5682556598521,396.6861180804622,427.7629043537089,269.8176693762272,245.98143352805852,60.216428590873484,379.5521582549543,415.83400379505093,0.0,56.68742847987442,156.50811362492345,105.90037637544346,63.84887326052778,249.17572315198024,57.622407096275104,51.661329986491495
253.55963659219213,167.0037993305427,64.38117944443059,171.59065701277117,279.9202660390855,453.1100893178211,468.5851183943735,324.3330057676068,266.00191618755764,6.276239470953588,422.3047195771722,472.17737517369966,56.68742847987442,0.0,189.651323133167,125.63449316613784,30.37665086716504,305.21928738744435,22.984225481494853,13.920216350678517
92.45423682804758,122.62600929441338,171.7407717571716,288.2417369781759,310.0674143510009,368.29696913439096,500.5113860272431,286.78099396411255,100.08056721922736,195.80662729563605,236.37132214751804,388.21633163004714,156.50811362492345,189.651323133167,0.0,69.40001590353894,212.52948582561385,249.50077856541103,204.49164593358608,194.63477308203684
153.47945839971314,128.24264208336726,102.37983695177374,252.85899207163553,307.03184165639726,409.52753235110134,502.4426136132427,308.0831187461412,141.93881365451446,131.90871550740806,305.69740611676957,429.5297951973117,105.90037637544346,125.63449316613784,69.40001590353894,0.0,151.7447837077246,275.93695694341994,143.4412078677,132.93935119322828
269.33707604777095,173.01427568202098,93.48463123333993,146.12784422917755,264.03330940796076,450.86147380518565,448.6340406459296,317.5830989484442,293.281271191766,25.317440199496502,441.440579366585,469.4872519406586,63.84887326052778,30.37665086716504,212.52948582561385,151.7447837077246,0.0,302.06940477466736,8.326482404690504,19.035414962449163
184.77105329322563,150.4650339273639,341.0688678904483,238.16647907993345,131.0782599529851,148.87448255617534,273.19420815691694,41.29816254874517,334.34306291724283,307.8080851902007,305.28090233971864,167.42056042238536,249.17572315198024,305.21928738744435,249.50077856541103,275.93695694341994,302.06940477466736,0.0,299.26379604285785,297.3114855369955
262.3427421464016,167.79232007873813,87.00397659911195,150.50123224231027,264.92277356400024,447.91685823598095,451.0111830580918,315.7646010245321,284.9567681758814,18.700597933244943,433.96414272465466,466.6649938379225,57.622407096275104,22.984225481494853,204.49164593358608,143.4412078677,8.326482404690504,299.26379604285785,0.0,10.748744787713454
254.30471053160815,162.63819907300717,78.22219393989792,157.69502096078472,267.81494686693,445.6680296489827,455.58364113950597,315.119464814986,274.33748354169467,12.022530708249121,425.0763497384398,464.5732822968309,51.661329986491495,13.920216350678517,194.63477308203684,132.93935119322828,19.035414962449163,297.3114855369955,10.748744787713454,0.0
